,id,intakedate,intakereason,sheltercode,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype
83,47630,2017-03-11 00:00:00,Abandoned,C17031637,Domestic Short Hair,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,2017-06-15 00:00:00,Adoption
84,47631,2017-03-11 00:00:00,Abandoned,C17031638,Domestic Long Hair,Orange,Cat,1 year 9 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster
85,47631,2017-03-11 00:00:00,Abandoned,C17031638,Domestic Long Hair,Orange,Cat,1 year 9 months.,Male,Feline Nursery,2017-04-18 00:00:00,Foster
86,47631,2017-03-11 00:00:00,Abandoned,C17031638,Domestic Long Hair,Orange,Cat,1 year 9 months.,Male,Feline Nursery,2017-05-11 00:00:00,Adoption
87,47632,2017-03-11 00:00:00,Abandoned,C17031639,Domestic Short Hair,Brown,Cat,1 year 9 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster
88,47632,2017-03-11 00:00:00,Abandoned,C17031639,Domestic Short Hair,Brown,Cat,1 year 9 months.,Male,Feline Nursery,2017-04-18 00:00:00,Foster
89,47632,2017-03-11 00:00:00,Abandoned,C17031639,Domestic Short Hair,Brown,Cat,1 year 9 months.,Male,Feline Nursery,2017-05-11 00:00:00,Adoption
90,47633,2017-03-11 00:00:00,Abandoned,C17031640,Domestic Short Hair,Black and other colours mix,Cat,1 year 9 months.,Female,Feline Nursery,2017-04-06 00:00:00,Foster
91,47633,2017-03-11 00:00:00,Abandoned,C17031640,Domestic Short Hair,Black and other colours mix,Cat,1 year 9 months.,Female,Feline Nursery,2017-05-16 00:00:00,Adoption
92,47634,2017-03-11 00:00:00,Abandoned,C17031641,Domestic Short Hair,Designer colors,Cat,1 year 8 months.,Female,Feline Nursery,2017-04-06 00:00:00,Foster
93,47634,2017-03-11 00:00:00,Abandoned,C17031641,Domestic Short Hair,Designer colors,Cat,1 year 8 months.,Female,Feline Nursery,2017-05-04 00:00:00,Adoption
94,47635,2017-03-11 00:00:00,Abandoned,C17031642,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster
95,47635,2017-03-11 00:00:00,Abandoned,C17031642,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-05-07 00:00:00,Adoption
96,47636,2017-03-11 00:00:00,Abandoned,C17031643,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster
97,47636,2017-03-11 00:00:00,Abandoned,C17031643,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-05-04 00:00:00,Adoption
98,47637,2017-03-11 00:00:00,Abandoned,C17031644,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster
99,47637,2017-03-11 00:00:00,Abandoned,C17031644,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Feline Nursery,2017-05-07 00:00:00,Adoption
100,47638,2017-03-11 00:00:00,Abandoned,C17031645,Domestic Short Hair,Black and other colours mix,Cat,4 years 8 months.,Female,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster
101,47638,2017-03-11 00:00:00,Abandoned,C17031645,Domestic Short Hair,Black and other colours mix,Cat,4 years 8 months.,Female,Adoptable Cat Kennels,2017-05-06 00:00:00,Adoption
108,47659,2017-03-14 00:00:00,Abandoned,C17031666,Domestic Medium Hair,White,Cat,2 years 4 months.,Male,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption
109,47661,2017-03-15 00:00:00,Abandoned,C17031668,Domestic Short Hair,Black,Cat,3 years 8 months.,Male,Adoptable Cat Big Colony,2017-04-26 00:00:00,Adoption
115,47684,2017-03-18 00:00:00,Abandoned,C17031691,Domestic Short Hair,Grey,Cat,16 years 8 months.,Female,Adoptable Cat Kennels,2017-04-26 00:00:00,Foster
116,47684,2017-03-18 00:00:00,Abandoned,C17031691,Domestic Short Hair,Grey,Cat,16 years 8 months.,Female,Adoptable Cat Kennels,2017-07-27 00:00:00,Foster
117,47684,2017-03-18 00:00:00,Abandoned,C17031691,Domestic Short Hair,Grey,Cat,16 years 8 months.,Female,Adoptable Cat Kennels,2017-07-31 00:00:00,Adoption
118,47685,2017-03-18 00:00:00,Abandoned,C17031692,Domestic Short Hair,Multi colours,Cat,18 years 2 months.,Female,Cat room B,2017-04-13 00:00:00,Adoption
119,47685,2017-03-18 00:00:00,Abandoned,C17031692,Domestic Short Hair,Multi colours,Cat,18 years 2 months.,Female,Cat room B,2018-05-14 00:00:00,Transfer
120,47688,2017-03-18 00:00:00,Abandoned,C17031695,Domestic Short Hair,White mix,Cat,2 years 10 months.,Female,Adoptable Cat Big Colony,2017-03-20 00:00:00,Foster
121,47688,2017-03-18 00:00:00,Abandoned,C17031695,Domestic Short Hair,White mix,Cat,2 years 10 months.,Female,Adoptable Cat Big Colony,2017-04-26 00:00:00,Adoption
123,47696,2017-03-20 00:00:00,Abandoned,C17031703,Domestic Short Hair,White mix,Cat,2 years 8 months.,Male,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption
124,47697,2017-03-21 00:00:00,Abandoned,C17031704,Domestic Short Hair,Designer colors,Cat,3 years 8 months.,Male,Adoptable Cat Big Colony,2017-04-21 00:00:00,Adoption
125,47698,2017-03-21 00:00:00,Stray,C17031705,Domestic Short Hair,Black,Cat,4 years 10 months.,Female,Adoptable Cat Kennels,2017-03-26 00:00:00,Foster
126,47698,2017-03-21 00:00:00,Stray,C17031705,Domestic Short Hair,Black,Cat,4 years 10 months.,Female,Adoptable Cat Kennels,2017-06-21 00:00:00,Adoption
127,47701,2017-03-21 00:00:00,,C17031708,Domestic Medium Hair,Black and other colours mix,Cat,4 years 7 months.,Male,Stray Cats,2017-03-28 00:00:00,Transfer
129,47703,2017-03-21 00:00:00,Abandoned,C17031710,Domestic Long Hair,Black,Cat,2 years 8 months.,Female,Adoptable Cat Big Colony,2017-04-08 00:00:00,Foster
130,47703,2017-03-21 00:00:00,Abandoned,C17031710,Domestic Long Hair,Black,Cat,2 years 8 months.,Female,Adoptable Cat Big Colony,2017-05-03 00:00:00,Adoption
132,47707,2017-03-22 00:00:00,Abandoned,C17031714,Domestic Short Hair,Black,Cat,1 year 8 months.,Male,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster
133,47707,2017-03-22 00:00:00,Abandoned,C17031714,Domestic Short Hair,Black,Cat,1 year 8 months.,Male,Adoptable Cat Kennels,2017-05-16 00:00:00,Adoption
134,47708,2017-03-22 00:00:00,Abandoned,C17031715,Domestic Short Hair,Black,Cat,1 year 8 months.,Male,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster
135,47708,2017-03-22 00:00:00,Abandoned,C17031715,Domestic Short Hair,Black,Cat,1 year 8 months.,Male,Adoptable Cat Kennels,2017-05-23 00:00:00,Adoption
156,47730,2017-03-24 00:00:00,Abandoned,C17031737,Domestic Short Hair,White mix,Cat,1 year 11 months.,Male,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption
199,47763,2017-03-28 00:00:00,Abandoned,C17031770,Domestic Short Hair,Black,Cat,8 years 8 months.,Female,Adoptable Cat Middle Colony,2017-04-08 00:00:00,Adoption
204,47767,2017-03-28 00:00:00,Abandoned,C17031774,Domestic Short Hair,Black and other colours mix,Cat,6 years 2 months.,Male,Stray Cats,2017-04-07 00:00:00,Adoption
205,47768,2017-03-28 00:00:00,Abandoned,C17031775,Domestic Medium Hair,Grey,Cat,4 years 6 months.,Female,Stray Cats,2017-04-02 00:00:00,Adoption
211,55297,2017-03-31 12:28:00,Owner Died,C1703003,Domestic Short Hair,Black and other colours mix,Cat,11 years 7 months.,Male,Adoptable Cat Big Colony,2017-04-07 00:00:00,Adoption
